корпус;количество комнат;общая площадь;жилая площадь;стоимость
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;53,12;32,00;4062059,31
1;2;54,52;32,00;4169116,59
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,64;32,83;4178292,93
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;54,65;32,83;4179057,63
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,08;32,83;4211939,51
1;2;55,95;32,83;4278467,97
1;2;56,02;32,03;4283820,83
1;2;56,46;32,83;4317467,41
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;72,35;42,16;5532567,60
1;3;74,03;42,16;5661036,34
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;76,87;43,55;5878209,70
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
1;3;78,17;43,55;5977620,03
